Keyword Stats 2025-07-29 at 13_55_51
"July 1, 2024 - June 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025
simulação de consorcio imovel	BRL	50	0%	0%	Unknown																				
consorcio de imoveis caixa economica	BRL	50	0%	0%	Unknown																				
consórcio vale a pena imóvel	BRL	50	0%	0%	High	71																			
consórcio caixa casa	BRL	50	0%	0%	Medium	57	1.03	7.30																	
consorcio embracon é seguro	BRL	50	0%	0%	Medium	43																			
consórcio para compra de terreno	BRL	50	0%	0%	High	100	1.97	8.76																	
consórcio para reforma de imóvel santander	BRL	0	0%	0%	Unknown																				
consórcio porto seguro casa	BRL	50	0%	0%	Unknown																				
consórcio ou financiamento de imóvel	BRL	50	-100%	-100%	Unknown																				
carta de credito caixa imovel simulação	BRL	50	-100%	0%	Unknown																				
consorcio construção de imovel	BRL	50	∞	0%	High	93																			
consorcio para imoveis como funciona	BRL	50	∞	∞	High	86																			
consórcio de imóvel bradesco	BRL	50	0%	0%	High	95	0.66	0.95																	
consorcio para compra de imovel vale a pena	BRL	50	∞	∞	High	100																			
consorcio casa bradesco	BRL	50	-100%	0%	Unknown																				
carta de credito para reforma de imovel	BRL	50	0%	0%	Unknown																				
consórcio embracon whatsapp	BRL	50	0%	-100%	Unknown																				
consorcio para casas caixa	BRL		 --	 --	Unknown																				
embracon com br cliente	BRL	50	0%	0%	Medium	33																			
carta de crédito contemplada embracon	BRL	50	-100%	0%	Unknown																				
consórcio volkswagen valores	BRL	50	0%	∞	High	77	2.62	9.51																	
carta de credito contemplada imovel rural	BRL		 --	 --	Unknown																				
telefone da embracon consórcio	BRL	50	0%	0%	Low	14																			
consorcio imovel caixa vale a pena	BRL	50	∞	∞	Low	14																			
consórcio residencial caixa	BRL	50	0%	-100%	Unknown																				
consórcio da embracon	BRL	50	0%	-100%	Unknown																				
consorcio minha casa	BRL	0	0%	0%	Unknown																				
consorcio de casa compensa	BRL	50	0%	0%	Unknown																				
site da embracon	BRL	50	-100%	-100%	Unknown																				
melhor consorcio de imoveis do mercado	BRL	0	0%	0%	Unknown																				
financiamento ou consórcio imobiliário	BRL	50	-100%	-100%	Unknown																				
consórcio nacional embracon	BRL	50	0%	0%	Medium	38	1.32	9.97																	
vale a pena consórcio imobiliário	BRL	50	0%	0%	Unknown																				
consórcio casa santander	BRL	50	0%	0%	Unknown																				
consorcio lote urbano	BRL	0	0%	0%	Unknown																				
consorcio para imovel como funciona	BRL	0	0%	0%	Unknown																				
consórcio de imóveis é um bom negócio	BRL	50	0%	0%	Low	0																			
consorcio imoveis embracon	BRL	50	0%	0%	Unknown																				
porto seguro consorcio residencial	BRL	50	0%	0%	Unknown																				
carta imovel contemplada	BRL	50	∞	0%	High	86																			
consórcio imóvel caixa econômica	BRL	50	-100%	0%	Unknown																				
consorcio bradesco casa	BRL	50	-100%	0%	Unknown																				
consorcio cas	BRL	50	0%	0%	Unknown																				
casas consorcio	BRL	50	0%	-100%	Unknown																				
consorcio residencial contemplado	BRL		 --	 --	Unknown																				
telefone da embracon	BRL	50	0%	0%	Low	25	0.42	2.65																	
consorcio casa na praia	BRL		 --	 --	Unknown																				
cartas de imoveis contempladas	BRL	50	0%	∞	High	100																			
consorcio de imoveis carta contemplada	BRL	0	0%	0%	Unknown																				
simulador de consorcio imobiliario porto seguro	BRL	0	0%	0%	Unknown																				
comprar imovel consorcio ou financiamento	BRL	50	0%	0%	Unknown																				
consórcio para imoveis	BRL	50	0%	0%	High	85	6.89	19.90																	
embracon consórcio telefone	BRL	50	0%	0%	Low	29																			
simulação consorcio caixa imóveis	BRL	0	0%	0%	Unknown																				
consorcio de imovel rural	BRL	50	0%	0%	Unknown																				
consórcio rinoplastia	BRL	50	-100%	0%	Unknown																				
carta de credito para imovel contemplada	BRL	50	0%	0%	High	67	1.64	5.12																	
carta de consorcio de imovel contemplada	BRL	0	0%	-100%	Unknown																				
consorcio de imoveis caixa valores	BRL	0	0%	0%	Unknown																				
consórcio embracon como funciona	BRL	50	0%	0%	High	71																			
consorcio de imovel sicoob	BRL	50	0%	0%	High	79																			
embracon carta contemplada	BRL	50	0%	0%	Unknown																				
comprar consorcio imobiliario	BRL	50	0%	0%	Unknown																				
consorcio imobiliario da caixa vale a pena	BRL	50	∞	∞	High	100																			
consorcio casas sicredi	BRL	50	0%	0%	Unknown																				
consorcio de imovel caixa economica federal	BRL	50	0%	-100%	Unknown																				
consorcio de serviços sicredi	BRL	50	∞	∞	High	71																			
casa no consórcio	BRL	50	0%	0%	Unknown																				
consorcio imovel valores	BRL		 --	 --	Unknown																				
consórcio mobi fiat	BRL	50	0%	0%	High	73	1.76	5.59																	
consorcio santander imovel	BRL	50	0%	0%	Unknown																				
consorcio santander casa	BRL	50	0%	0%	Unknown																				
consórcio itau imovel	BRL	50	0%	0%	Medium	60	2.36	10.13																	
consorcio contemplado itau imoveis	BRL	50	0%	0%	Unknown																				
consorcio mapfre imoveis	BRL	50	-100%	0%	Unknown																				
consorcio de casas porto seguro	BRL	50	-100%	0%	Unknown																				
consórcio de terra rural	BRL	50	∞	∞	High	100																			
embracon americana	BRL	0	0%	0%	Unknown																				
bradesco consorcio imoveis	BRL	0	0%	-100%	Unknown																				
consorcio simulação imovel	BRL	50	0%	0%	High	96	6.19	17.99																	
consorcio embracon construção	BRL	50	-100%	0%	Unknown																				
carta de crédito embracon contemplada	BRL	50	∞	∞	Medium	43																			
embracon pouso alegre	BRL		 --	 --	Unknown																				
consórcio de terreno como funciona	BRL	50	-100%	0%	Unknown																				
caixa consorcio simulação	BRL	50	0%	0%	High	91	2.08	6.99																	
cartas contempladas de imoveis	BRL	50	0%	∞	High	100																			
consorcio de veiculos embracon	BRL	0	0%	0%	Unknown																				
consorcio compra terreno	BRL	50	0%	0%	Unknown																				
simular consorcio imovel caixa	BRL	50	0%	0%	Unknown																				
consorcio imovel hs	BRL		 --	 --	Unknown																				
consorcio de imoveis para construção	BRL	50	∞	∞	High	100																			
consórcio imobiliário caixa econômica	BRL	50	∞	∞	High	100																			
carta de consorcio imovel contemplada	BRL	0	0%	0%	Unknown																				
consorcio com garantia de imovel	BRL	50	0%	0%	Unknown																				
embracon vila velha	BRL	50	0%	0%	Low	31	1.84	10.19																	
consórcio imobiliário da caixa econômica federal	BRL	50	0%	0%	Unknown																				
fazer consórcio imobiliário vale a pena	BRL	50	0%	0%	Unknown																				
consórcio porto seguro de imóveis	BRL	50	0%	0%	High	76	3.60	10.15																	
planos embracon	BRL	50	∞	∞	High	71																			
carta de credito terreno	BRL	50	-100%	0%	Unknown																				
comprar apartamento consorcio	BRL	50	0%	-100%	Unknown																				
consorcio porto seguro imóvel	BRL	50	0%	0%	High	81	2.78	8.57																	
vale a pena fazer um consorcio de imovel	BRL	50	-100%	-100%	Unknown																				
consorcio casa banco do brasil	BRL	50	∞	∞	High	86																			
vendo carta contemplada imovel	BRL	50	0%	0%	Unknown																				
consorcio de imovel embracon	BRL	50	0%	0%	Unknown																				
consorcio imovel compensa	BRL		 --	 --	Unknown																				
carta de credito para terreno	BRL	50	0%	-100%	Unknown																				
consorcio de serviços embracon	BRL	50	0%	0%	Unknown																				
carta de credito para compra de imovel	BRL	50	0%	-100%	Unknown																				
carta contemplada imovel caixa economica federal	BRL	0	0%	0%	Unknown																				
carta de credito consorcio imobiliario contemplado	BRL	50	-100%	0%	Unknown																				
simulador de consórcio embracon	BRL	50	∞	0%	High	100																			
consorcio de terreno vale a pena	BRL	50	0%	∞	High	100																			
consorcio imovel como funciona	BRL	50	0%	0%	Unknown																				
consorcio de lotes	BRL	50	0%	0%	Unknown																				
consorcio financiamento imovel	BRL	50	0%	0%	Unknown																				
consorcio de imovel bradesco simulador	BRL	50	0%	0%	Unknown																				
simulação carta de credito embracon	BRL	0	0%	0%	Unknown																				
0800 consorcio embracon	BRL	50	∞	∞	Low	29																			
0800 da embracon	BRL	50	0%	0%	Unknown																				
0800 embracon	BRL	50	0%	0%	Low	21																			
2 via boleto consorcio embracon	BRL	0	0%	0%	Unknown																				
2 via boleto embracon	BRL	50	∞	0%	Low	10																			
2 via consorcio embracon	BRL	50	0%	0%	Unknown																				
2 via de boleto embracon	BRL	0	0%	0%	Unknown																				
2 via embracon	BRL	50	0%	∞	Low	0																			
a embracon é confiavel	BRL	50	0%	0%	Unknown																				
a empresa embracon é confiavel	BRL	0	0%	0%	Unknown																				
administradora embracon	BRL	50	0%	0%	Unknown																				
app consorcio embracon	BRL	50	0%	∞	Low	29																			
app embracon	BRL	50	0%	0%	Low	14																			
assembleias embracon	BRL	50	0%	0%	Low	0																			
banco central embracon	BRL	0	0%	0%	Unknown																				
banco embracon	BRL	50	0%	∞	Low	29																			
boleto consorcio embracon	BRL	50	0%	0%	Unknown																				
boleto embracon	BRL	50	0%	0%	Low	4																			
boleto embracon 2 via	BRL	0	0%	0%	Unknown																				
boleto embracon consorcio	BRL	0	0%	0%	Unknown																				
carta de credito contemplada embracon	BRL	50	-100%	0%	Unknown																				
carta de credito embracon reclame aqui	BRL	50	-100%	0%	Unknown																				
carta de credito embracon é bom	BRL	50	0%	0%	Unknown																				
carta de crédito da embracon	BRL	0	0%	0%	Unknown																				
carta embracon	BRL	50	0%	0%	Unknown																				
central da embracon	BRL	50	0%	-100%	Unknown																				
central embracon	BRL	50	0%	0%	Low	14																			
central embracon telefone	BRL	50	0%	∞	Low	14																			
cliente embracon	BRL	50	0%	0%	Low	11																			
consorcio contemplado embracon	BRL	50	-100%	0%	Unknown																				
consorcio da embracon é confiavel	BRL	50	0%	0%	Unknown																				
consorcio de carro embracon	BRL	50	∞	0%	High	100																			
consorcio embracon 0800	BRL	0	0%	0%	Unknown																				
consorcio embracon 2 via	BRL	50	-100%	-100%	Unknown																				
consorcio embracon automoveis	BRL	0	0%	0%	Unknown																				
consorcio embracon banco central	BRL		 --	 --	Unknown																				
consorcio embracon boleto	BRL	50	0%	0%	Unknown																				
consorcio embracon carta de credito	BRL	0	0%	0%	Unknown																				
consorcio embracon carta de credito contemplada	BRL	50	0%	0%	Unknown																				
consorcio embracon cliente	BRL	50	0%	0%	Unknown																				
consorcio embracon como funciona	BRL	50	0%	0%	High	71																			
consorcio embracon contato	BRL	50	∞	∞	Low	29																			
consorcio embracon contemplado	BRL	50	0%	-100%	Unknown																				
consorcio embracon e bom	BRL	50	0%	0%	High	69	1.44	13.07																	
consorcio embracon e confiavel	BRL	50	0%	0%	Medium	48	1.69	14.79																	
consorcio embracon endereço	BRL	50	0%	0%	Unknown																				
consorcio embracon imoveis reclame aqui	BRL	0	0%	0%	Unknown																				
consorcio embracon porto alegre	BRL		 --	 --	Unknown																				
consorcio embracon reclame aqui	BRL	50	0%	0%	Low	0																			
consorcio embracon renault	BRL	50	0%	0%	Unknown																				
consorcio embracon segunda via boleto	BRL	50	0%	0%	Unknown																				
consorcio embracon telefone	BRL	50	0%	0%	Medium	34	0.49	3.35																	
consorcio embracon telefone central	BRL	50	0%	-100%	Unknown																				
consorcio lojas colombo	BRL	0	0%	0%	Unknown																				
consorcio minas gerais	BRL	50	0%	-100%	Unknown																				
consorcio nacional embracon	BRL	50	0%	-100%	Unknown																				
consorcio nacional embracon é confiavel	BRL	50	0%	0%	Unknown																				
consorcio porto seguro veiculo	BRL	50	0%	0%	High	80	2.37	8.13																	
consorcio renault embracon	BRL	50	0%	0%	Low	14																			
consulta consorcio embracon	BRL	0	0%	0%	Unknown																				
consórcio de carros embracon	BRL	50	0%	0%	Unknown																				
consórcio embracon americana	BRL		 --	 --	Unknown																				
consórcio embracon belo horizonte	BRL	0	0%	0%	Unknown																				
consórcio embracon boleto	BRL	50	∞	∞	Low	29																			
consórcio embracon bragança paulista	BRL	50	∞	∞	Medium	43																			
consórcio embracon cliente	BRL	50	0%	0%	Unknown																				
consórcio embracon contemplado	BRL	50	0%	-100%	Unknown																				
consórcio embracon e confiável	BRL	50	0%	0%	Medium	48	1.69	14.79																	
consórcio embracon matriz	BRL	50	0%	0%	Unknown																				
consórcio embracon montes claros	BRL		 --	 --	Unknown																				
consórcio embracon ponta grossa	BRL	0	0%	0%	Unknown																				
consórcio embracon ribeirão preto	BRL		 --	 --	Unknown																				
consórcio embracon santo andré	BRL		 --	 --	Unknown																				
consórcio embracon são caetano do sul	BRL	50	-100%	0%	Unknown																				
consórcio embracon são josé do rio preto	BRL		 --	 --	Unknown																				
consórcio embracon são paulo	BRL	0	0%	0%	Unknown																				
consórcio embracon telefone 0800	BRL	50	0%	-100%	Unknown																				
consórcio embracon trabalhe conosco	BRL	50	0%	-100%	Unknown																				
consórcio embracon é bom	BRL	50	0%	0%	High	69	1.44	13.07																	
consórcio embracon é seguro	BRL	50	0%	0%	Medium	43																			
consórcio nacional embracon trabalhe conosco	BRL	50	∞	∞	Low	0																			
contato consorcio embracon	BRL	50	0%	0%	Unknown																				
contato da embracon	BRL	50	0%	0%	Unknown																				
contato embracon	BRL	50	0%	0%	Low	27	0.41	0.70																	
contato embracon consorcio	BRL	50	∞	0%	Medium	43																			
contemplado embracon	BRL	50	-100%	-100%	Unknown																				
contemplado embracon com br	BRL	50	∞	∞	Medium	57																			
cota contemplada embracon	BRL	50	0%	∞	High	100																			
embracon 0800	BRL	50	∞	0%	Low	14																			
embracon 2 via	BRL	50	0%	∞	Low	0																			
embracon 2 via boleto	BRL	50	0%	0%	Low	14																			
embracon 2 via de boleto	BRL	0	0%	0%	Unknown																				
embracon adm de consorcio ltda	BRL	50	0%	0%	Unknown																				
embracon administradora	BRL	50	0%	0%	Unknown																				
embracon administradora de condomínios	BRL		 --	 --	Unknown																				
embracon administradora de consorcio	BRL	0	0%	0%	Unknown																				
embracon administradora de consorcio ltda	BRL	50	0%	∞	Low	29																			
embracon administradora de consorcio ltda telefone	BRL	50	0%	0%	Unknown																				
embracon administradora de consórcio	BRL	50	0%	0%	Low	14																			
embracon administradora de consórcios	BRL	50	0%	0%	Low	14																			
embracon administradora de consórcios ltda	BRL	50	0%	0%	High	75	1.61	3.28																	
embracon americana telefone	BRL		 --	 --	Unknown																				
embracon app	BRL	50	0%	0%	Low	7																			
embracon banco central	BRL	50	0%	0%	Unknown																				
embracon belo horizonte	BRL	50	0%	0%	Unknown																				
embracon boleto	BRL	50	0%	0%	Low	29																			
embracon boleto 2 via	BRL	50	0%	∞	Low	0																			
embracon bragança paulista	BRL	0	0%	0%	Unknown																				
embracon campinas sao jose	BRL		 --	 --	Unknown																				
embracon campos	BRL	0	0%	0%	Unknown																				
embracon carro	BRL	0	0%	0%	Unknown																				
embracon central	BRL	50	0%	-100%	Unknown																				
embracon central telefone	BRL	50	0%	0%	Unknown																				
embracon clientes boleto	BRL	0	0%	0%	Unknown																				
embracon clientes telefone	BRL	0	0%	0%	Unknown																				
embracon com	BRL	0	0%	0%	Unknown																				
embracon com br	BRL	50	0%	0%	Medium	50																			
embracon com br clientes	BRL	50	0%	0%	Medium	33																			
embracon com br trabalhe conosco	BRL	0	0%	0%	Unknown																				
embracon como funciona	BRL	50	0%	0%	Unknown																				
embracon condomínios telefone	BRL		 --	 --	Unknown																				
embracon confiavel	BRL	50	0%	-100%	Unknown																				
embracon consorcio boleto	BRL	50	-100%	0%	Unknown																				
embracon consorcio carros	BRL	0	0%	0%	Unknown																				
embracon consorcio cliente	BRL		 --	 --	Unknown																				
embracon consorcio como funciona	BRL	0	0%	0%	Unknown																				
embracon consorcio e confiavel	BRL	50	-100%	0%	Unknown																				
embracon consorcio endereço	BRL	50	0%	0%	Unknown																				
embracon consorcio imobiliario	BRL	50	-100%	0%	Unknown																				
embracon consorcio imoveis	BRL	50	∞	∞	High	71																			
embracon consorcio nacional	BRL	0	0%	0%	Unknown																				
embracon consorcio reclame aqui	BRL	50	0%	0%	Low	0																			
embracon consorcio trabalhe conosco	BRL	50	0%	-100%	Unknown																				
embracon consorcios reclame aqui	BRL	50	0%	0%	Low	0																			
embracon construção	BRL	0	0%	0%	Unknown																				
embracon consórcio embracon	BRL	0	0%	0%	Unknown																				
embracon consórcio endereço	BRL	50	0%	0%	Unknown																				
embracon consórcio nacional	BRL	50	0%	-100%	Unknown																				
embracon consórcio é seguro	BRL	0	0%	0%	Unknown																				
embracon contato	BRL	50	0%	0%	Low	27	0.41	0.70																	
embracon contemplado	BRL	50	∞	∞	High	100																			
embracon corretora	BRL	50	0%	-100%	Unknown																				
embracon corretora de seguros	BRL	50	0%	0%	Unknown																				
embracon cota cancelada	BRL	0	0%	0%	Unknown																				
embracon cotas canceladas	BRL	0	0%	0%	Unknown																				
embracon cotas contempladas	BRL	50	0%	0%	Unknown																				
embracon e bom	BRL	50	0%	0%	Unknown																				
embracon e confiavel	BRL	50	0%	0%	Medium	42	1.69	8.91																	
embracon empresa	BRL	50	∞	∞	Low	29																			
embracon endereço	BRL	50	∞	0%	Low	14																			
embracon endereço matriz	BRL	50	-100%	0%	Unknown																				
embracon entrar	BRL	50	0%	0%	Low	29																			
embracon financeira	BRL	50	0%	-100%	Unknown																				
embracon financeira reclame aqui	BRL	0	0%	0%	Unknown																				
embracon fone	BRL	0	0%	0%	Unknown																				
embracon franca	BRL		 --	 --	Unknown																				
embracon internet	BRL	50	0%	0%	Unknown																				
embracon jp	BRL		 --	 --	Unknown																				
embracon mais por menos	BRL	50	0%	0%	Unknown																				
embracon matriz	BRL	50	0%	0%	Unknown																				
embracon meu consorcio	BRL	0	0%	0%	Unknown																				
embracon montes claros telefone	BRL		 --	 --	Unknown																				
embracon numero	BRL	50	0%	0%	Unknown																				
embracon numero de telefone	BRL	50	-100%	0%	Unknown																				
embracon o que é	BRL	50	0%	0%	Unknown																				
embracon online	BRL	0	0%	0%	Unknown																				
embracon pocos de caldas	BRL		 --	 --	Unknown																				
embracon projetos	BRL		 --	 --	Unknown																				
embracon reação	BRL		 --	 --	Unknown																				
embracon renault	BRL	50	0%	0%	Unknown																				
embracon ribeirao preto	BRL		 --	 --	Unknown																				
embracon ribeirao preto telefone	BRL		 --	 --	Unknown																				
embracon ribeirão preto	BRL		 --	 --	Unknown																				
embracon rio claro	BRL		 --	 --	Unknown																				
embracon rio preto	BRL	50	0%	0%	Unknown																				
embracon rio preto telefone	BRL		 --	 --	Unknown																				
embracon santa catarina	BRL	50	0%	0%	Unknown																				
embracon santo amaro	BRL		 --	 --	Unknown																				
embracon santo andré	BRL		 --	 --	Unknown																				
embracon sao bernardo	BRL		 --	 --	Unknown																				
embracon sao caetano	BRL		 --	 --	Unknown																				
embracon sao caetano do sul	BRL	0	0%	0%	Unknown																				
embracon sao carlos	BRL		 --	 --	Unknown																				
embracon sao jose	BRL		 --	 --	Unknown																				
embracon sao jose do rio preto	BRL		 --	 --	Unknown																				
embracon sao jose dos campos	BRL		 --	 --	Unknown																				
embracon sao luis	BRL	0	0%	0%	Unknown																				
embracon sao paulo	BRL	50	0%	-100%	Unknown																				
embracon segunda via	BRL	50	-100%	-100%	Unknown																				
embracon segunda via boleto	BRL	50	0%	0%	Unknown																				
embracon segunda via de boleto	BRL	50	0%	0%	Unknown																				
embracon seguro	BRL	50	0%	0%	Unknown																				
embracon serra	BRL	50	-90%	0%	Low	28	2.39	14.35																	
embracon serviços	BRL	50	0%	0%	Unknown																				
embracon site	BRL	50	0%	0%	Low	29	0.49	1.49																	
embracon são caetano	BRL		 --	 --	Unknown																				
embracon são josé	BRL		 --	 --	Unknown																				
embracon são josé dos campos	BRL		 --	 --	Unknown																				
embracon são paulo	BRL	50	0%	0%	Unknown																				
embracon telefone 0800	BRL	50	0%	-100%	Unknown																				
embracon telefone central	BRL	50	0%	0%	Low	29																			
embracon telefone matriz	BRL	0	0%	0%	Unknown																				
embracon telefones	BRL	50	0%	0%	Low	25	0.42	2.65																	
embracon trabalhe conosco	BRL	50	0%	0%	Medium	38																			
embracon veiculos	BRL	50	0%	0%	Unknown																				
embracon é bom	BRL	50	0%	0%	Unknown																				
embracon é de confiança	BRL	50	0%	0%	Unknown																				
embracon é seguro	BRL	50	-100%	0%	Unknown																				
embraconnet	BRL	50	0%	0%	Unknown																				
emitir boleto embracon	BRL	0	0%	0%	Unknown																				
empresa de consórcio embracon	BRL	0	0%	0%	Unknown																				
empresa embracon consorcio	BRL	50	0%	0%	Unknown																				
empresa embracon trabalhe conosco	BRL	0	0%	0%	Unknown																				
empresa embracon é confiável	BRL	50	-100%	-100%	Unknown																				
endereço da embracon	BRL	50	∞	∞	Low	19																			
endereço embracon	BRL	50	0%	∞	Low	21																			
endereço embracon são paulo	BRL	50	0%	-100%	Unknown																				
financeira embracon	BRL	50	0%	-100%	Unknown																				
fone embracon	BRL	50	∞	∞	Low	14																			
fone embracon consorcio	BRL		 --	 --	Unknown																				
imprimir boleto embracon	BRL	50	0%	0%	Unknown																				
loja embracon	BRL	50	-100%	0%	Unknown																				
mais por menos embracon	BRL	50	0%	0%	Unknown																				
matriz embracon	BRL	50	0%	0%	Unknown																				
meu consorcio embracon	BRL	50	0%	-100%	Unknown																				
numero da embracon	BRL	50	0%	0%	Unknown																				
numero da embracon administradora de consorcio	BRL	50	0%	0%	Unknown																				
numero embracon	BRL	50	-100%	-100%	Unknown																				
número da embracon consórcio	BRL	50	0%	0%	Unknown																				
número de telefone da embracon	BRL	50	0%	0%	Low	29																			
número de telefone da embracon consórcio	BRL	50	0%	0%	Unknown																				
número de telefone do consórcio embracon	BRL	50	0%	0%	Unknown																				
número de telefone embracon	BRL	50	0%	0%	Unknown																				
número do consórcio embracon	BRL	50	∞	0%	Medium	43																			
número do telefone da embracon	BRL	50	∞	0%	Low	25																			
número do telefone do consórcio embracon	BRL	50	0%	0%	Unknown																				
número embracon	BRL	50	-100%	-100%	Unknown																				
o consórcio embracon é confiável	BRL	50	0%	0%	Unknown																				
plano justo embracon	BRL	50	0%	0%	Unknown																				
plano mais por menos embracon	BRL	50	0%	∞	Low	29																			
planos consórcio embracon	BRL	50	-100%	0%	Unknown																				
reclame aqui consorcio embracon	BRL	50	∞	0%	Low	0																			
reclame aqui consórcio embracon	BRL	50	∞	0%	Low	0																			
reclame aqui embracon	BRL	50	0%	0%	Low	4																			
reclame aqui embracon consorcio	BRL	50	∞	∞	Low	0																			
representante embracon	BRL	50	∞	0%	Medium	64																			
segunda via boleto embracon	BRL	50	-100%	0%	Unknown																				
segunda via consorcio embracon	BRL	0	0%	0%	Unknown																				
segunda via de boleto embracon	BRL	50	-100%	0%	Unknown																				
segunda via do boleto embracon	BRL	0	0%	0%	Unknown																				
segunda via embracon	BRL	50	0%	-100%	Unknown																				
seguradora embracon	BRL	50	0%	-100%	Unknown																				
seguro consorcio embracon	BRL	0	0%	0%	Unknown																				
simulação consorcio imobiliario embracon	BRL	0	0%	0%	Unknown																				
simulação de consorcio sicredi	BRL	50	-100%	-100%	Unknown																				
site consorcio embracon	BRL	0	0%	0%	Unknown																				
site embracon cliente	BRL	50	∞	0%	Low	0																			
site embracon consorcio	BRL	0	0%	0%	Unknown																				
sobre a embracon	BRL	0	0%	0%	Unknown																				
sobre embracon	BRL	0	0%	0%	Unknown																				
telefone 0800 da embracon	BRL	50	0%	0%	Unknown																				
telefone 0800 embracon	BRL	50	0%	0%	Unknown																				
telefone central embracon	BRL	50	0%	0%	Low	29																			
telefone consorcio embracon	BRL	50	0%	0%	Low	24																			
telefone da central da embracon	BRL	50	∞	∞	Low	14																			
telefone da embracon 0800	BRL	0	0%	0%	Unknown																				
telefone da embracon administradora de consórcio	BRL	50	0%	0%	Unknown																				
telefone da embracon central	BRL	0	0%	0%	Unknown																				
telefone da empresa embracon	BRL	0	0%	0%	Unknown																				
telefone do embracon	BRL	50	0%	0%	Unknown																				
telefone embracon 0800	BRL	50	0%	0%	Low	18																			
telefone embracon americana	BRL		 --	 --	Unknown																				
telefone embracon central	BRL	50	0%	-100%	Unknown																				
telefone embracon consorcio	BRL	50	0%	0%	Medium	33																			
telefone embracon matriz	BRL	50	∞	0%	Low	7																			
telefone embracon montes claros	BRL	50	0%	0%	Unknown																				
telefones embracon	BRL	50	0%	0%	Low	25	0.49	2.83																	
trabalhe conosco embracon	BRL	50	0%	0%	Medium	38																			
tudo sobre a embracon	BRL	0	0%	0%	Unknown																				
tudo sobre a empresa embracon	BRL	0	0%	0%	Unknown																				
tudo sobre consorcio embracon	BRL	50	0%	0%	Unknown																				
valores da embracon	BRL	50	0%	0%	Unknown																				
valores embracon	BRL	50	∞	0%	Low	0																			
whatsapp da embracon	BRL	50	-100%	0%	Unknown																				
whatsapp embracon	BRL	50	0%	0%	Unknown																				
www consorcio embracon com br boleto	BRL	0	0%	0%	Unknown																				
www consórcio embracon	BRL	0	0%	0%	Unknown																				
www embracon com br assembleias	BRL	0	0%	0%	Unknown																				
www embracon com br segunda via boleto	BRL	50	0%	0%	Unknown																				
www embracon consorcio	BRL	0	0%	0%	Unknown																				
comprar casa consorcio	BRL	0	0%	-100%	Unknown																				
caixa consorcio de imoveis	BRL	50	0%	0%	High	73	1.13	6.03																	
caixa economica federal consorcio de imoveis	BRL	50	0%	∞	Medium	64																			
caixa economica federal consorcio imobiliario	BRL	0	0%	0%	Unknown																				
carta consorcio contemplada imovel	BRL	50	∞	∞	High	86																			
carta contemplada bradesco imovel	BRL		 --	 --	Unknown																				
carta contemplada imovel itau	BRL	50	0%	0%	Unknown																				
carta contemplada imóvel como funciona	BRL	50	0%	0%	Unknown																				
carta contemplada imóvel particular	BRL	0	0%	0%	Unknown																				
carta contemplada para imovel	BRL	50	0%	0%	High	90	1.29	8.17																	
carta contemplada para imóveis	BRL	50	0%	0%	High	90	1.29	8.17																	
carta de credito caixa imovel	BRL	50	-100%	-100%	Unknown																				
carta de credito caixa para imovel	BRL	50	-100%	-100%	Unknown																				
carta de credito contemplada imovel 200 mil	BRL		 --	 --	Unknown																				
carta de credito contemplada imovel bradesco	BRL		 --	 --	Unknown																				
carta de credito contemplada imovel como funciona	BRL		 --	 --	Unknown																				
carta de credito da caixa para compra de imovel	BRL	50	-100%	0%	Unknown																				
carta de credito imobiliario o que é	BRL	50	0%	0%	Unknown																				
carta de credito imovel caixa	BRL	50	-100%	-100%	Unknown																				
carta de credito imovel itau	BRL	50	0%	0%	Unknown																				
carta de credito imovel rural	BRL	50	-100%	0%	Unknown																				
carta de credito imovel santander	BRL	0	0%	0%	Unknown																				
carta de credito para imovel caixa	BRL	50	-100%	-100%	Unknown																				
carta de credito para imovel rural	BRL	50	-100%	0%	Unknown																				
carta de credito para imovel vale a pena	BRL	50	0%	0%	Unknown																				
carta de crédito contemplada bradesco imóvel	BRL		 --	 --	Unknown																				
carta de crédito contemplada de imóvel	BRL	50	0%	0%	Unknown																				
cartas de credito imoveis	BRL	0	0%	0%	Unknown																				
cartas de credito para imoveis	BRL	50	0%	0%	Unknown																				
compra de imovel com carta de credito	BRL	50	∞	∞	Low	0																			
comprar carta contemplada consorcio imovel	BRL	0	0%	0%	Unknown																				
comprar carta de credito imovel contemplada	BRL	50	0%	0%	Unknown																				
comprar imovel com carta de credito	BRL	50	0%	-100%	Unknown																				
consorcio aliena o bem	BRL	50	0%	0%	Unknown																				
consorcio bradesco de imoveis	BRL	50	0%	0%	High	95	0.66	0.95																	
consorcio caixa apartamento	BRL	50	0%	0%	Unknown																				
consorcio caixa economica imovel	BRL	50	-100%	0%	Unknown																				
consorcio caixa imoveis simulação	BRL	50	0%	0%	Unknown																				
consorcio caixa imovel como funciona	BRL	0	0%	0%	Unknown																				
